Isotope,Half Life,Unit,Computed Half Life
copernicium-277,240.0,seconds,0.00023999999999999998
copernicium-277,690.0,seconds,0.00069
copernicium-281,180.0,seconds,0.18
copernicium-282,910.0,seconds,0.00091
copernicium-283,4.2,seconds,4.2
copernicium-284,98.0,seconds,0.098
copernicium-285,28.0,seconds,28.0
copper-62,580.4,seconds,580.4
curium-233,27.0,seconds,27.0
curium-234,52.0,seconds,52.0
curium-235,300.0,seconds,300.0
curium-236,410.0,seconds,410.0
curium-237,1.2,seconds,1200.0
curium-238,8.6,seconds,8600.0
curium-239,9.0,seconds,9000.0
curium-240,2.3,seconds,2300000.0
curium-241,2.83,seconds,2830000.0
curium-242,14.07,seconds,14070000.0
curium-242m,180.0,seconds,1.8000000000000002e-07
curium-243,920.0,seconds,920000000.0
curium-243m,1.08,seconds,1.08e-06
curium-244,571.0,seconds,571000000.0
curium-244m1,34.0,seconds,0.034
curium-245,270.0,seconds,270000000000.0
curium-245m,290.0,seconds,2.9000000000000003e-07
curium-246,150.0,seconds,150000000000.0
curium-246m,1.12,seconds,1.12
curium-247,490.0,seconds,490000000000000.0
curium-247m1,26.3,seconds,2.63e-05
curium-247m2,100.6,seconds,1.006e-07
curium-248,11.0,seconds,11000000000000.0
curium-248m,146.0,seconds,0.000146
curium-249,3.849,seconds,3849.0
curium-249m,23.0,seconds,2.3e-05
curium-2508,260.0,seconds,260000000000.0
curium-251,1.01,seconds,1010.0
darmstadtium-269,230.0,seconds,0.00022999999999999998
darmstadtium-270,205.0,seconds,0.000205
darmstadtium-270m,10.0,seconds,0.01
darmstadtium-271,90.0,seconds,0.09
darmstadtium-271m,1.7,seconds,0.0017
darmstadtium-273,240.0,seconds,0.00023999999999999998
darmstadtium-277,3.5,seconds,0.0035
darmstadtium-279,210.0,seconds,0.21
darmstadtium-281,12.7,seconds,12.7
dubnium-255,37.0,seconds,0.037
dubnium-256,1.9,seconds,1.9
dubnium-257,1.53,seconds,1.53
dubnium-257m,670.0,seconds,0.67
dubnium-258,4.5,seconds,4.5
dubnium-258m,1.9,seconds,1.9
dubnium-259,510.0,seconds,0.51
dubnium-260,1.52,seconds,1.52
dubnium-261,4.5,seconds,4.5
dubnium-262,35.0,seconds,35.0
dubnium-263,29.0,seconds,29.0
dubnium-266,4.8,seconds,4800.0
dubnium-267,17.0,seconds,17000.0
dubnium-268,110.9,seconds,110900.0
dubnium-270,3.6,seconds,3600.0
dysprosium-153,23.0,seconds,23000.0
dysprosium-154,95.0,seconds,95000000000000.0
einsteinium-240,6.0,seconds,6.0
einsteinium-241,10.0,seconds,10.0
einsteinium-242,13.5,seconds,13.5
einsteinium-243,21.0,seconds,21.0
einsteinium-244,37.0,seconds,37.0
einsteinium-245,66.0,seconds,66.0
einsteinium-246,460.0,seconds,460.0
einsteinium-247,273.0,seconds,273.0
einsteinium-249,6.13,seconds,6130.0
einsteinium-250,31.0,seconds,31000.0
einsteinium-250m,8.0,seconds,8000.0
einsteinium-251,118.8,seconds,118800.0
einsteinium-252,40.76,seconds,40760000.0
einsteinium-253,1.769,seconds,1769000.0
einsteinium-254,23.82,seconds,23820000.0
einsteinium-255,3.44,seconds,3440000.0
einsteinium-255,141.48,seconds,141480.0
einsteinium-256,1.52,seconds,1520.0
einsteinium-256m,27.0,seconds,27000.0
einsteinium-257,670.0,seconds,670000.0
erbium-160,102.9,seconds,102900.0
erbium-165,37.3,seconds,37300.0
europium-151,157.9,seconds,1.579e+26
fermium-241,730.0,seconds,0.00073
fermium-242,800.0,seconds,0.0007999999999999999
fermium-243,231.0,seconds,0.231
fermium-244,3.12,seconds,0.0031200000000000004
fermium-245,4.2,seconds,4.2
fermium-246,1.54,seconds,1.54
fermium-247,31.0,seconds,31.0
fermium-248,35.1,seconds,35.1
fermium-249,96.0,seconds,96.0
fermium-250m,1.92,seconds,1.92
fermium-251,19.1,seconds,19100.0
fermium-251m,21.1,seconds,2.11e-05
fermium-252,91.4,seconds,91400.0
fermium-253,259.0,seconds,259000.0
fermium-254,11.66,seconds,11660.0
fermium-255,72.3,seconds,72300.0
fermium-256,9.46,seconds,9460.0
fermium-257,8.68,seconds,8680000.0
fermium-258,370.0,seconds,0.00037
fermium-259,1.5,seconds,1.5
flerovium-284,2.5,seconds,0.0025
flerovium-285,100.0,seconds,0.1
flerovium-286,120.0,seconds,0.12
flerovium-287,480.0,seconds,0.48
flerovium-288,660.0,seconds,0.66
flerovium-289,1.9,seconds,1.9
fluorine-14,500.0,seconds,5e-22
fluorine-15,1.11,seconds,1.11e-21
fluorine-16,11.0,seconds,1.1e-20
fluorine-17,64.49,seconds,64.49
fluorine-18,6.586,seconds,6586.0
fluorine-20,11.07,seconds,11.07
fluorine-21,4.158,seconds,4.158
fluorine-22,4.23,seconds,4.23
fluorine-23,2.23,seconds,2.23
fluorine-24,390.0,seconds,0.39
fluorine-25,50.0,seconds,0.05
fluorine-26,9.6,seconds,0.0096
fluorine-27,5.0,seconds,0.005
fluorine-28,40.0,seconds,4e-08
fluorine-29,2.5,seconds,0.0025
fluorine-30,260.0,seconds,2.6e-07
fluorine-31,250.0,seconds,2.5000000000000004e-07
francium-199,16.0,seconds,0.016
francium-200,24.0,seconds,0.024
francium-200m,650.0,seconds,0.65
francium-201,67.0,seconds,0.067
francium-202,290.0,seconds,0.29
francium-202m,340.0,seconds,0.34
francium-203,550.0,seconds,0.55
francium-204,1.7,seconds,1.7
francium-204m1,2.6,seconds,2.6
francium-204m2,1.7,seconds,1.7
francium-205,3.8,seconds,3.8
francium-206,16.0,seconds,16.0
francium-206m1,15.9,seconds,15.9
francium-206m2,700.0,seconds,0.7000000000000001
francium-207,14.8,seconds,14.8
francium-208,59.1,seconds,59.1
francium-209,50.0,seconds,50.0
francium-210,191.0,seconds,191.0
francium-211,186.0,seconds,186.0
francium-212,1.2,seconds,1200.0
francium-213,34.6,seconds,34.6
francium-214,5.0,seconds,0.005
francium-214m1,3.35,seconds,0.00335
francium-214m2,103.0,seconds,1.0300000000000001e-07
francium-214m3,108.0,seconds,1.08e-07
francium-215,86.0,seconds,8.6e-08
francium-216,700.0,seconds,7.000000000000001e-07
francium-217,16.8,seconds,1.68e-05
francium-218,1.0,seconds,0.001
francium-218m1,22.0,seconds,0.022
francium-219,20.0,seconds,0.02
francium-220,27.4,seconds,27.4
francium-221,290.0,seconds,290.0
francium-222,850.0,seconds,850.0
francium-223,1.32,seconds,1320.0
francium-224,200.0,seconds,200.0
francium-225,240.0,seconds,240.0
francium-226,49.0,seconds,49.0
francium-227,148.0,seconds,148.0
francium-228,38.0,seconds,38.0
francium-229,50.2,seconds,50.2
francium-230,19.1,seconds,19.1
francium-231,17.6,seconds,17.6
francium-232,5.0,seconds,5.0
gadolinium-149,802.0,seconds,802000.0
gadolinium-150,56.0,seconds,56000000000000.0
gadolinium-152,3.4,seconds,3.4e+21
gadolinium-153,20.77,seconds,20770000.0
gallium-68,4.063,seconds,4062.9999999999995
germanium-76,57.0,seconds,5.7e+28
gold-195,16.08,seconds,16079999.999999998
gold-196,534.2,seconds,534200.0
gold-198,232.8,seconds,232800.0
gold-199,273.8,seconds,273800.0
hafnium-153,2.2,seconds,2.2e+24
hafnium-182,280.0,seconds,280000000000000.0
hassium-263,760.0,seconds,0.0007599999999999999
hassium-264,540.0,seconds,0.00054
hassium-265,1.96,seconds,0.00196
hassium-265m,360.0,seconds,0.00035999999999999997
hassium-266,3.02,seconds,0.00302
hassium-266m,280.0,seconds,0.28
hassium-267,55.0,seconds,0.055
hassium-268,1.42,seconds,1.42
hassium-269,16.0,seconds,16.0
hassium-270,9.0,seconds,9.0
hassium-271,10.0,seconds,10.0
hassium-273,510.0,seconds,0.51
hassium-275,290.0,seconds,0.29
hassium-277,11.0,seconds,0.011
helium-10,1.52,seconds,1.5199999999999999e-21
helium-10,260.0,seconds,2.6e-22
helium-5,602.0,seconds,6.019999999999999e-22
helium-6,806.7,seconds,0.8067000000000001
helium-7,2.51,seconds,2.5099999999999994e-21
helium-8,119.0,seconds,0.11900000000000001
helium-9,7.0,seconds,6.999999999999999e-21
holmium-163,144.0,seconds,144000000000.0
holmium-166m1,38.0,seconds,38000000000.0
hydrogen-3,389.0,seconds,389000000.0
hydrogen-4,139.0,seconds,1.3899999999999998e-22
hydrogen-5,86.0,seconds,8.599999999999999e-23
hydrogen-6,294.0,seconds,2.94e-22
hydrogen-7,652.0,seconds,6.52e-22
indium-115,13.9,seconds,1.39e+22
iodine-124,360.0,seconds,360000.0
iodine-129,500.0,seconds,500000000000000.0
iodine-131,693.0,seconds,693000.0
iron-55,87.0,seconds,87000000.0
iron-60,82.0,seconds,82000000000000.0
krypton-78,290.0,seconds,2.9e+29
krypton-81,7.2,seconds,7200000000000.0
krypton-85,339.4,seconds,339400000.0
lanthanum-137,1.9,seconds,1900000000000.0
lanthanum-138,3.22,seconds,3.22e+18
lawrencium-251,27.0,seconds,0.027
lawrencium-252,390.0,seconds,0.39
lawrencium-253,580.0,seconds,0.58
lawrencium-253m,1.5,seconds,1.5
lawrencium-254,13.0,seconds,13.0
lawrencium-255,22.0,seconds,22.0
lawrencium-256,27.0,seconds,27.0
lawrencium-257,646.0,seconds,0.646
lawrencium-258,4.1,seconds,4.1
lawrencium-259,6.2,seconds,6.2
lawrencium-260,160.0,seconds,160.0
lawrencium-262,13.0,seconds,13000.0
lawrencium-266,40.0,seconds,40000.0
lead-178,230.0,seconds,0.00022999999999999998
lead-179,3.9,seconds,0.0039
lead-180,4.5,seconds,0.0045000000000000005
lead-181,45.0,seconds,0.045
lead-182,60.0,seconds,0.06
lead-183,535.0,seconds,0.535
lead-183m,415.0,seconds,0.41500000000000004
lead-184,490.0,seconds,0.49
lead-185,6.3,seconds,6.3
lead-185m,4.07,seconds,4.07
lead-186,4.82,seconds,4.82
lead-187,15.2,seconds,15.2
lead-187m,18.3,seconds,18.3
lead-188,25.5,seconds,25.5
lead-188m1,830.0,seconds,8.300000000000001e-07
lead-188m2,797.0,seconds,7.970000000000001e-07
lead-189,51.0,seconds,51.0
lead-189m1,50.5,seconds,50.5
lead-189m2,26.0,seconds,2.6e-05
lead-190,71.0,seconds,71.0
lead-190m1,150.0,seconds,1.5000000000000002e-07
lead-190m2,25.0,seconds,2.4999999999999998e-05
lead-190m3,7.2,seconds,7.2e-06
lead-191,80.0,seconds,80.0
lead-191m,131.0,seconds,131.0
lead-192,210.0,seconds,210.0
lead-192m1,164.0,seconds,1.64e-07
lead-192m2,1.1,seconds,1.1e-06
lead-192m3,756.0,seconds,7.56e-07
lead-193,300.0,seconds,300.0
lead-193m1,350.0,seconds,350.0
lead-193m2,135.0,seconds,1.35e-07
lead-194,720.0,seconds,720.0
lead-195,900.0,seconds,900.0
lead-195m1,900.0,seconds,900.0
lead-195m2,10.0,seconds,9.999999999999999e-06
lead-196m3,140.0,seconds,1.4e-07
lead-196m4,270.0,seconds,2.7e-07
lead-197,490.0,seconds,490.0
lead-197m2,1.15,seconds,1.1499999999999998e-06
lead-198,8.6,seconds,8600.0
lead-198m1,4.19,seconds,4.1900000000000005e-06
lead-198m2,137.0,seconds,1.37e-07
lead-198m3,212.0,seconds,2.1200000000000002e-07
lead-199,5.4,seconds,5400.0
lead-199m1,730.0,seconds,730.0
lead-199m2,10.1,seconds,1.01e-05
lead-200,77.0,seconds,77000.0
lead-201,33.6,seconds,33600.0
lead-201m1,61.0,seconds,61.0
lead-201m2,508.0,seconds,5.08e-07
lead-202,1.66,seconds,1660000000000.0
lead-202m1,12.7,seconds,12700.0
lead-202m2,110.0,seconds,1.1e-07
lead-202m3,107.0,seconds,1.07e-07
lead-203,186.743,seconds,186743.0
lead-203m1,6.21,seconds,6.21
lead-203m2,480.0,seconds,0.48
lead-203m3,122.0,seconds,1.22e-07
lead-204m1,265.0,seconds,2.65e-07
lead-204m2,4.0,seconds,4000.0
lead-204m3,450.0,seconds,4.5000000000000003e-07
lead-205,550.0,seconds,550000000000000.0
lead-205m1,24.2,seconds,2.42e-05
lead-205m2,5.55,seconds,0.00555
lead-205m3,217.0,seconds,2.1700000000000002e-07
lead-206m1,125.0,seconds,0.000125
lead-206m2,202.0,seconds,2.02e-07
lead-207m,806.0,seconds,0.806
lead-208m,500.0,seconds,5.000000000000001e-07
lead-209,11.71,seconds,11710.0
lead-210,700.0,seconds,700000000.0
lead-210m,201.0,seconds,2.01e-07
lead-212,38.3,seconds,38300.0
lead-212m,6.0,seconds,6e-06
lead-213,610.0,seconds,610.0
lead-214m,6.2,seconds,6.2e-06
lead-215,140.0,seconds,140.0
lead-216,99.0,seconds,99.0
lead-216m,400.0,seconds,4.0000000000000003e-07
lead-217,20.0,seconds,20.0
lead-218,15.0,seconds,15.0
lithium-10,2.0,seconds,2e-21
lithium-10m1,3.7,seconds,3.7e-21
lithium-10m2,1.35,seconds,1.35e-21
lithium-11,8.59,seconds,0.00859
lithium-13,3.3,seconds,3.2999999999999993e-21
lithium-4,91.0,seconds,9.099999999999999e-23
lithium-5,370.0,seconds,3.6999999999999995e-22
lithium-8,839.9,seconds,0.8399
lithium-9,178.3,seconds,0.17830000000000001
livermorium-290,8.3,seconds,0.0083
livermorium-291,19.0,seconds,0.019
livermorium-292,13.0,seconds,0.013000000000000001
livermorium-293,57.0,seconds,0.057
lutetium-153,900.0,seconds,0.9
lutetium-176,1.188,seconds,1.188e+18
magnesium-19,5.0,seconds,5e-12
magnesium-37,8.0,seconds,0.008
manganese-52,483.1,seconds,483100.0
manganese-53,120.0,seconds,120000000000000.0
manganese-68,28.0,seconds,0.028
meitnerium-266,1.2,seconds,0.0012
meitnerium-268,27.0,seconds,0.027
meitnerium-270,6.3,seconds,0.0063
meitnerium-274,440.0,seconds,0.44
meitnerium-275,20.0,seconds,0.02
meitnerium-276,450.0,seconds,0.45
meitnerium-277,5.0,seconds,0.005
meitnerium-278,4.5,seconds,4.5
mendelevium-244,400.0,seconds,0.4
mendelevium-245,900.0,seconds,0.0009
mendelevium-245m,400.0,seconds,0.4
mendelevium-246,1.0,seconds,1.0
mendelevium-247,1.12,seconds,1.12
mendelevium-247m,200.0,seconds,0.2
mendelevium-248,7.0,seconds,7.0
mendelevium-249,24.0,seconds,24.0
mendelevium-249m,1.9,seconds,1.9
mendelevium-250,52.0,seconds,52.0
mendelevium-251,240.0,seconds,240.0
mendelevium-252,138.0,seconds,138.0
mendelevium-253,720.0,seconds,720.0
mendelevium-254,600.0,seconds,600.0
mendelevium-256,4.62,seconds,4620.0
mendelevium-257,19.9,seconds,19900.0
mendelevium-258,4.45,seconds,4450000.0
mendelevium-259,5.8,seconds,5800.0
mendelevium-260,2.4,seconds,2400000.0
mercury-1944,14.0,seconds,14000000000.0
mercury-210[2],600.0,seconds,600.0
molybdenum-100,246.3,seconds,2.463e+26
molybdenum-93,130.0,seconds,130000000000.0
moscovium-287,37.0,seconds,0.037
moscovium-288,164.0,seconds,0.164
moscovium-289,330.0,seconds,0.33
moscovium-290,650.0,seconds,0.65
